title,abstract,IPC
Laser beam machining device and a process of laser machining comprising a single lens for light focussing,"A laser beam machining device ( 1) is provided, in which unfocused light (A) from a light exit point (B) is radiated onto a single lens (8), where in the lens (8) focuses the laser light (A) and guides it onto a machining point of a work piece (7). A distance (ma, mb) between the lens (8) and the light exit point (B) and a distance (la, lb) between the lens (8) and the machining point of the workpiece (7) and a distance between the light exit point (B) and the aforementioned machining point can be varied. Moreover, a process of usage of a laser beam machining device (1) is provided.",B
3D visualizations of in-process products based on machine tool input,"Systems and methods are provided for creating three dimensional (3D) visualizations of in-process products. One embodiment is an apparatus that includes a controller and an interface. The controller is able to generate a 3D scene depicting ongoing assembly of a product by a machine tool. The scene includes a 3D model of the product and a 3D model of the machine tool, and the 3D models are placed within the scene based on a location of the product and a location of the machine tool. The interface is able to receive an update from the machine tool indicating a 3D placement of a part that has been attached by the machine tool to the product. The controller is also able to acquire a 3D model of the part, to insert the 3D model of the part within the scene based on the 3D placement, and to provide the scene for display to a user.",G
In-process automatic recalibration,"An apparatus and associated method for a frame that is configured to rotate a workpiece around an axis of rotation. The apparatus has a measurement device, and a known fixture that is supported by the frame. A processor is configured to execute stored computer instructions to initially-calibrate the measurement device to the axis of rotation, to employ the initially-calibrated measurement device to obtain an initial-calibration value of the known fixture, to store the initial-calibration value in a digital memory, to subsequently use the initially-calibrated measuring device to obtain an in-process automatic recalibration (IPAR) value of the known fixture, and to compare the IPAR value to the initial-calibration value to calculate a compensation value indicating positional error of the apparatus.",G
Switching between workpiece processing operating modes of a processing machine,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for switching between different operating modes on a processing machine. The operating modes are different from one another in respect of operator intervention requirements of an operator of the processing machine, One of the methods includes switching from a first operating mode to a second operating mode, looking up stored operating settings specific to the second operating mode and related to one or more potential operator interventions, changing operation of the processing machine in accordance of the stored operating settings specific to the second operating mode, and providing feedback to the operator of the machine, indicating whether a switch to the second operating mode is complete or whether at least one of the potential operator interventions is required.",B
METHOD AND SYSTEM OF PROCESSING OF A LONG PRODUCT,"A method of processing long product on a numerical control machine including a gantry, a cutting bed, and a gantry holding a cutting torch, includes the steps of moving the gantry over a stationary long product on the cutting bed while cutting the long product with the cutting torch to process the long product. The cutting torch is capable of moving in at least the X-, Y-, and Z-directions relative to an arbitrary coordinate system defining the dimensions of the long product.",B
"Information input system, program, medium","An information input system with a touch panel-mounted information processing device which inputs the position, direction and code information of a card when the card is placed on the touch panel, and further inputs information combining the position of a finger and information of the card when the touch panel is touched through the card. The information input system includes a touch panel that receives operations by the user by an electrostatic capacitance method, an information processing unit with the touch panel as input means, and a thin-plate medium to be placed on the touch panel. The information processing unit identifies, using a predetermined calibration method, code information defined in the medium and medium information including the placing position and placing direction of the medium, and identifies coordinate values in a touch panel coordinate system for specifying the position on the medium surface touched by the user in touch operations.",B
Electrode negative pulse welding system and method,"A welding system includes a power source configured to generate power and deliver the power to a welding torch. The power is provided in accordance with an electrode negative pulse welding regime that includes a cyclic peak, followed by a stabilization phase, then a return to a background level. The stabilization phase has a generally parabolic current shape, and is performed in a current-closed loop manner until a transition point, where control becomes voltage-closed loop until the background level is reached. Resulting weld performance is improved, with a globular-like transfer mode, reduced shorts and enhanced arc stability.",B
Electrode negative pulse welding system and method,"A welding system includes a power source configured to generate power and deliver the power to a welding torch. The power is provided in accordance with an electrode negative pulse welding regime that includes a cyclic peak, followed by a stabilization phase, then a return to a background level. The stabilization phase has a generally parabolic current shape, and is performed in a current-closed loop manner until a transition point, where control becomes voltage-closed loop until the background level is reached. Resulting weld performance is improved, with a globular-like transfer mode, reduced shorts and enhanced arc stability.",B
Electro-spark deposition surface modification process and apparatus,"A surface modification process and apparatus for the electro-spark deposition (ESD) on a workpiece may include mounting a workpiece on a rotationally driven mounting. The contact surface of the workpiece is ESD coated. Ultrasonic vibration is applied to the deposition layer during its crystallization phase. The workpiece may be a resistance spot welding electrode. The apparatus may have a vibrating applicator, ESD power supply, integrated ultrasonic transducer assembly, a work station having a rotational drive and an ultrasonic generator. The ultrasonic generator is connected to the ultrasonic transducer. The ultrasonic transducer assembly and the rotating driving work bench unit are integrated in a single assembly. The workpiece seats on the ultrasonic transducer assembly. The deposition of a surface coating occurs during simultaneous application of electro-spark deposition and ultrasonic vibration.",B
Saw blade for a machine tool,A saw blade includes a blade base with an arcuate cutting edge. The cutting edge is curved to a lesser extent than a circular arc with a radius that corresponds to the distance between the axis of rotation of the saw blade and the cutting edge.,B
