title,abstract,IPC
Laser beam machining device and a process of laser machining comprising a single lens for light focussing,"A laser beam machining device ( 1) is provided, in which unfocused light (A) from a light exit point (B) is radiated onto a single lens (8), where in the lens (8) focuses the laser light (A) and guides it onto a machining point of a work piece (7). A distance (ma, mb) between the lens (8) and the light exit point (B) and a distance (la, lb) between the lens (8) and the machining point of the workpiece (7) and a distance between the light exit point (B) and the aforementioned machining point can be varied. Moreover, a process of usage of a laser beam machining device (1) is provided.",B23K
Switching between workpiece processing operating modes of a processing machine,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for switching between different operating modes on a processing machine. The operating modes are different from one another in respect of operator intervention requirements of an operator of the processing machine, One of the methods includes switching from a first operating mode to a second operating mode, looking up stored operating settings specific to the second operating mode and related to one or more potential operator interventions, changing operation of the processing machine in accordance of the stored operating settings specific to the second operating mode, and providing feedback to the operator of the machine, indicating whether a switch to the second operating mode is complete or whether at least one of the potential operator interventions is required.",B23Q
METHOD AND SYSTEM OF PROCESSING OF A LONG PRODUCT,"A method of processing long product on a numerical control machine including a gantry, a cutting bed, and a gantry holding a cutting torch, includes the steps of moving the gantry over a stationary long product on the cutting bed while cutting the long product with the cutting torch to process the long product. The cutting torch is capable of moving in at least the X-, Y-, and Z-directions relative to an arbitrary coordinate system defining the dimensions of the long product.",B23K
Electrode negative pulse welding system and method,"A welding system includes a power source configured to generate power and deliver the power to a welding torch. The power is provided in accordance with an electrode negative pulse welding regime that includes a cyclic peak, followed by a stabilization phase, then a return to a background level. The stabilization phase has a generally parabolic current shape, and is performed in a current-closed loop manner until a transition point, where control becomes voltage-closed loop until the background level is reached. Resulting weld performance is improved, with a globular-like transfer mode, reduced shorts and enhanced arc stability.",B23K
Electrode negative pulse welding system and method,"A welding system includes a power source configured to generate power and deliver the power to a welding torch. The power is provided in accordance with an electrode negative pulse welding regime that includes a cyclic peak, followed by a stabilization phase, then a return to a background level. The stabilization phase has a generally parabolic current shape, and is performed in a current-closed loop manner until a transition point, where control becomes voltage-closed loop until the background level is reached. Resulting weld performance is improved, with a globular-like transfer mode, reduced shorts and enhanced arc stability.",B23K
Electro-spark deposition surface modification process and apparatus,"A surface modification process and apparatus for the electro-spark deposition (ESD) on a workpiece may include mounting a workpiece on a rotationally driven mounting. The contact surface of the workpiece is ESD coated. Ultrasonic vibration is applied to the deposition layer during its crystallization phase. The workpiece may be a resistance spot welding electrode. The apparatus may have a vibrating applicator, ESD power supply, integrated ultrasonic transducer assembly, a work station having a rotational drive and an ultrasonic generator. The ultrasonic generator is connected to the ultrasonic transducer. The ultrasonic transducer assembly and the rotating driving work bench unit are integrated in a single assembly. The workpiece seats on the ultrasonic transducer assembly. The deposition of a surface coating occurs during simultaneous application of electro-spark deposition and ultrasonic vibration.",B23K
Welding system and device with configurable personal computer user interface,"The invention relates to a welding system. A welding system (10) includes a welding power supply (12) having a user interface (22) disposed thereon and a welding controller (20) disposed therein, and the welding power supply (12) is adapted to generate a welding power output for a welding operation. The welding system (10) further comprises a personal computer (28) having a control circuit (30) disposed therein, and the personal computer (28) is removably engaged with the welding power supply (12) by means of a docking structure (3). When the personal computer (28) is butted in the docking mechanism (32), the personal computer (28) can be used for receiving the input of the operator, and the control circuit (30) is communicated with the welding controller (20) to coordinate the control of the welding operation according to the input of the operator.",B23K
Weld parameter interface,"A system and method for determining settings or parameters for a welding-type power source are provided. By presenting an operator with an interface that is positioned along the path of a weld cable and configured to input weld characteristics, an operator is not required to determine electrical parameters for setting a welding-type power source output at the power source. The interface is presented to the operator at a remote welding-type device, such as a wire feeder, a weld robot, a torch, or the like. From the operator-specified weld characteristics, the system and method determine appropriate settings for the power source. In some embodiments, the system and method may automatically set the power source accordingly.",B23K
Method and apparatus for eliminating cut taper,Methods and apparatus for a material cutting system are provided. The system has a table for receiving a work piece. A cutting head cuts the work piece on the table and includes a positioning apparatus. The positioning apparatus moves the cutting head relative to the work piece at an angle relative to a planar surface of the work piece. The material cutting system also includes a computerized numeric controller (CNC) controlling the positioning apparatus. The CNC references a table of values within application software to find a material value and a work piece thickness value within the table to determine the angle from the perpendicular to produce a kerf edge that is formed at a particular angle to the work piece planar surface.,B23K
Spindle unit for turning and milling machines,"A spindle unit for machine tools that includes a working spindle rotationally bearing-mounted in axially spaced spindle bearings in a spindle case, and an electric driving motor. The working spindle includes at its head side a clamping device for a tool and at its rear side a non-rotating ring cylinder for activating said clamping device via a rotating tie rod, and rotational bushing for supplying said tool with cooling and/or lubricating agents through a hydraulic conduit extending longitudinally through said working spindle. At least a segment of the non-rotating ring cylinder may be received in the rear end portion of said working spindle.",B23B
